Date,average_sentiment,Glossier
2021-01-01T00:00:00.000+0000,0.013613519184164728,35
2021-01-02T00:00:00.000+0000,0.11804024255788313,41
2021-01-03T00:00:00.000+0000,0.06636458416873847,44
2021-01-04T00:00:00.000+0000,0.023517382413087935,32
2021-01-05T00:00:00.000+0000,0.03682445024226612,35
2021-01-06T00:00:00.000+0000,0.04040803416099953,38
2021-01-07T00:00:00.000+0000,0.022988505747126436,29
2021-01-08T00:00:00.000+0000,0.01244949641400375,34
2021-01-09T00:00:00.000+0000,0.01567624803078433,34
2021-01-10T00:00:00.000+0000,0.011613845346475917,36
2021-01-11T00:00:00.000+0000,0.039628676183789686,33
2021-01-12T00:00:00.000+0000,0.020691508419921175,29
2021-01-13T00:00:00.000+0000,0.01644165692215017,32
2021-01-14T00:00:00.000+0000,0.07835396453663433,28
2021-01-15T00:00:00.000+0000,0.05284008779913272,40
2021-01-16T00:00:00.000+0000,0.034427300598080114,36
2021-01-17T00:00:00.000+0000,0.07859249894648125,34
2021-01-18T00:00:00.000+0000,0.09199614271938283,30
2021-01-19T00:00:00.000+0000,0.035066079295154186,35
2021-01-20T00:00:00.000+0000,0.07184763200408129,31
2021-01-21T00:00:00.000+0000,0.1932520325203252,30
2021-01-22T00:00:00.000+0000,0.029225323125051453,31
2021-01-23T00:00:00.000+0000,0.06986774008050604,32
2021-01-24T00:00:00.000+0000,0.12593271370598247,33
2021-01-25T00:00:00.000+0000,0.023744458614198095,35
2021-01-26T00:00:00.000+0000,0.28641655886157824,30
2021-01-27T00:00:00.000+0000,0.018008034353788612,30
2021-01-28T00:00:00.000+0000,0.020099087940547235,28
2021-01-29T00:00:00.000+0000,0.024246174617461747,30
2021-01-30T00:00:00.000+0000,0.057504554584948846,35
2021-01-31T00:00:00.000+0000,0.021058478941521058,34
2021-02-01T00:00:00.000+0000,0.0254526189708389,29
2021-02-02T00:00:00.000+0000,0.047612006505988465,27
2021-02-03T00:00:00.000+0000,0.03863863863863864,26
2021-02-04T00:00:00.000+0000,0.032692543161503614,34
2021-02-05T00:00:00.000+0000,0.06077539028745896,30
2021-02-06T00:00:00.000+0000,0.04078888390856118,31
2021-02-07T00:00:00.000+0000,0.06795756361747904,32
2021-02-08T00:00:00.000+0000,0.04922523756527695,28
2021-02-09T00:00:00.000+0000,0.05823151973279424,30
2021-02-10T00:00:00.000+0000,0.09382151029748284,29
2021-02-11T00:00:00.000+0000,0.07348593631218853,26
2021-02-12T00:00:00.000+0000,0.08891454965357967,28
2021-02-13T00:00:00.000+0000,1.6691449814126393,28
2021-02-14T00:00:00.000+0000,0.048558195129239506,28
2021-02-15T00:00:00.000+0000,0.026226057672069036,29
2021-02-16T00:00:00.000+0000,0.06131682343136088,29
2021-02-17T00:00:00.000+0000,0.0183372707841152,27
2021-02-18T00:00:00.000+0000,0.030630739487675206,30
2021-02-19T00:00:00.000+0000,0.015146748168457009,32
2021-02-20T00:00:00.000+0000,0.08889323043860506,27
2021-02-21T00:00:00.000+0000,0.22296928947846628,33
2021-02-22T00:00:00.000+0000,0.032311588507553925,31
2021-02-23T00:00:00.000+0000,0.08958068614993647,23
2021-02-24T00:00:00.000+0000,0.034505640345056404,33
2021-02-25T00:00:00.000+0000,0.05523413111342352,28
2021-02-26T00:00:00.000+0000,0.7738444607483492,30
2021-02-27T00:00:00.000+0000,0.02803433662935999,29
2021-02-28T00:00:00.000+0000,0.013118878605445233,34
2021-03-01T00:00:00.000+0000,0.03202457453569663,27
2021-03-02T00:00:00.000+0000,0.01247274313126908,29
2021-03-03T00:00:00.000+0000,0.06491655283007662,24
2021-03-04T00:00:00.000+0000,0.032781488100837176,28
2021-03-05T00:00:00.000+0000,0.009427530269190078,100
2021-03-06T00:00:00.000+0000,0.02732315277682668,55
2021-03-07T00:00:00.000+0000,0.08581726086109488,42
2021-03-08T00:00:00.000+0000,0.020566581306017927,39
2021-03-09T00:00:00.000+0000,0.0541820873427091,31
2021-03-10T00:00:00.000+0000,0.03818697858432958,31
2021-03-11T00:00:00.000+0000,0.12320916905444126,31
2021-03-12T00:00:00.000+0000,0.05942659593491089,32
2021-03-13T00:00:00.000+0000,0.05583476003755454,36
2021-03-14T00:00:00.000+0000,0.032850187475516254,36
2021-03-15T00:00:00.000+0000,0.03948291411965127,32
2021-03-16T00:00:00.000+0000,0.031135586553299646,30
2021-03-17T00:00:00.000+0000,0.017947384066587396,36
2021-03-18T00:00:00.000+0000,0.01383248343460869,28
2021-03-19T00:00:00.000+0000,0.05286343612334802,27
2021-03-20T00:00:00.000+0000,0.044846656611362494,35
2021-03-21T00:00:00.000+0000,0.05685959271168274,40
2021-03-22T00:00:00.000+0000,0.053073729986163276,33
2021-03-23T00:00:00.000+0000,0.029037240432469538,34
2021-03-24T00:00:00.000+0000,0.0476944224601158,32
2021-03-25T00:00:00.000+0000,0.10848085631947303,33
2021-03-26T00:00:00.000+0000,0.019329990553012134,29
2021-03-27T00:00:00.000+0000,0.13107822410147993,35
2021-03-28T00:00:00.000+0000,1.233695652173913,40
2021-03-29T00:00:00.000+0000,0.030309112806101966,30
2021-03-30T00:00:00.000+0000,0.23614274867122248,31
2021-03-31T00:00:00.000+0000,0.038031800601633005,26
2021-04-01T00:00:00.000+0000,0.05486196588711095,29
2021-04-02T00:00:00.000+0000,0.05981406770741975,28
2021-04-03T00:00:00.000+0000,0.025051290357412808,34
2021-04-04T00:00:00.000+0000,0.12159411726084958,33
2021-04-05T00:00:00.000+0000,1.8935950413223142,35
2021-04-06T00:00:00.000+0000,1.5618166013450658,27
2021-04-07T00:00:00.000+0000,1.4745761002229194,30
2021-04-08T00:00:00.000+0000,1.7412738166946709,28
2021-04-09T00:00:00.000+0000,1.878422520736989,28
2021-04-10T00:00:00.000+0000,1.38359694540984,29
2021-04-11T00:00:00.000+0000,1.5416161296559967,31
2021-04-12T00:00:00.000+0000,1.484932928686666,26
2021-04-13T00:00:00.000+0000,1.5425757125111534,24
2021-04-14T00:00:00.000+0000,1.8194377439585983,24
2021-04-15T00:00:00.000+0000,1.4347360757980747,31
2021-04-16T00:00:00.000+0000,1.728354185206512,27
2021-04-17T00:00:00.000+0000,1.57993091723561,27
2021-04-18T00:00:00.000+0000,1.9046281685655138,34
2021-04-19T00:00:00.000+0000,1.5242315552404389,23
2021-04-20T00:00:00.000+0000,1.5931665421956684,21
2021-04-21T00:00:00.000+0000,1.6233103134080415,26
2021-04-22T00:00:00.000+0000,1.713093432400548,27
2021-04-23T00:00:00.000+0000,1.8591076890623353,20
2021-04-24T00:00:00.000+0000,1.9979670074349443,27
2021-04-25T00:00:00.000+0000,1.797472026060667,29
2021-04-26T00:00:00.000+0000,1.386521168977145,26
2021-04-27T00:00:00.000+0000,1.8683975047297643,25
2021-04-28T00:00:00.000+0000,1.8750219539844486,22
2021-04-29T00:00:00.000+0000,1.7511500163433864,26
2021-04-30T00:00:00.000+0000,1.6365572929446142,34
2021-05-01T00:00:00.000+0000,1.716597666541212,30
2021-05-02T00:00:00.000+0000,1.6981605028730091,30
2021-05-03T00:00:00.000+0000,1.55424556931294,33
2021-05-04T00:00:00.000+0000,1.6835800669888266,27
2021-05-05T00:00:00.000+0000,1.2894855022942497,26
2021-05-06T00:00:00.000+0000,1.8373646645830908,27
2021-05-07T00:00:00.000+0000,1.703645634244472,31
2021-05-08T00:00:00.000+0000,1.4386442937232917,28
2021-05-09T00:00:00.000+0000,1.8118506879477345,27
2021-05-10T00:00:00.000+0000,1.8440658618652899,26
2021-05-11T00:00:00.000+0000,1.5632158472655684,26
2021-05-12T00:00:00.000+0000,1.5883067143110972,21
2021-05-13T00:00:00.000+0000,1.9200196227869613,26
2021-05-14T00:00:00.000+0000,1.7413566263391664,30
2021-05-15T00:00:00.000+0000,1.8803186181118792,23
2021-05-16T00:00:00.000+0000,1.7208409136850618,31
2021-05-17T00:00:00.000+0000,1.8188611639370176,25
2021-05-18T00:00:00.000+0000,1.8399958387858015,34
2021-05-19T00:00:00.000+0000,1.688758645593178,31
2021-05-20T00:00:00.000+0000,1.8849627012171182,32
2021-05-21T00:00:00.000+0000,1.8367143883699077,28
2021-05-22T00:00:00.000+0000,1.619674797197691,29
2021-05-23T00:00:00.000+0000,1.886392487609773,29
2021-05-24T00:00:00.000+0000,1.7162219059953419,26
2021-05-25T00:00:00.000+0000,1.8592297993934586,28
2021-05-26T00:00:00.000+0000,1.81232002089304,30
2021-05-27T00:00:00.000+0000,1.759450209337489,25
2021-05-28T00:00:00.000+0000,1.708837604198827,27
2021-05-29T00:00:00.000+0000,1.9075769107514822,28
2021-05-30T00:00:00.000+0000,1.807264018172391,22
2021-05-31T00:00:00.000+0000,1.7202535856144952,29
2021-06-01T00:00:00.000+0000,1.7916264845194392,27
2021-06-02T00:00:00.000+0000,1.7300119302327874,26
2021-06-03T00:00:00.000+0000,1.6081667398945518,27
2021-06-04T00:00:00.000+0000,1.6971373181802352,22
2021-06-05T00:00:00.000+0000,1.477442991598762,26
2021-06-06T00:00:00.000+0000,1.873583250054842,30
2021-06-07T00:00:00.000+0000,1.6396770983080835,22
2021-06-08T00:00:00.000+0000,1.7657741838873915,24
2021-06-09T00:00:00.000+0000,1.9025957144029995,25
2021-06-10T00:00:00.000+0000,1.8162825599900743,71
2021-06-11T00:00:00.000+0000,1.8133243028700852,65
2021-06-12T00:00:00.000+0000,1.922288067028978,59
2021-06-13T00:00:00.000+0000,1.9207831560422093,47
2021-06-14T00:00:00.000+0000,1.9005711443517186,53
2021-06-15T00:00:00.000+0000,1.7109308616375245,36
2021-06-16T00:00:00.000+0000,1.6936437987106707,25
2021-06-17T00:00:00.000+0000,1.692937919733853,28
2021-06-18T00:00:00.000+0000,1.9366656259165698,23
2021-06-19T00:00:00.000+0000,1.908150366400321,26
2021-06-20T00:00:00.000+0000,1.8879835320353375,26
2021-06-21T00:00:00.000+0000,1.7641885419946013,27
2021-06-22T00:00:00.000+0000,1.8319419844034366,22
2021-06-23T00:00:00.000+0000,1.963859710766727,27
2021-06-24T00:00:00.000+0000,1.7958459614691733,22
2021-06-25T00:00:00.000+0000,1.8278382980401955,27
2021-06-26T00:00:00.000+0000,1.8871907906632341,26
2021-06-27T00:00:00.000+0000,1.7797315807585643,24
2021-06-28T00:00:00.000+0000,1.9094947507570283,24
2021-06-29T00:00:00.000+0000,1.8537854537333434,23
2021-06-30T00:00:00.000+0000,1.8864631069460893,24
2021-07-01T00:00:00.000+0000,1.7271623711844828,21
2021-07-02T00:00:00.000+0000,1.613854655497566,23
2021-07-03T00:00:00.000+0000,1.7212746858168761,23
2021-07-04T00:00:00.000+0000,1.7878328026556467,20
2021-07-05T00:00:00.000+0000,1.6757591835460817,18
2021-07-06T00:00:00.000+0000,1.6230974530385327,23
2021-07-07T00:00:00.000+0000,1.671395598710653,22
2021-07-08T00:00:00.000+0000,1.8750226814247137,25
2021-07-09T00:00:00.000+0000,1.998531119764979,29
2021-07-10T00:00:00.000+0000,1.6786997686362666,31
2021-07-11T00:00:00.000+0000,1.3859765016750814,25
2021-07-12T00:00:00.000+0000,1.7582715563428022,21
2021-07-13T00:00:00.000+0000,1.1604879500148766,23
2021-07-14T00:00:00.000+0000,1.2720422754118743,25
2021-07-15T00:00:00.000+0000,1.1541172911761999,22
2021-07-16T00:00:00.000+0000,1.348258553575087,28
2021-07-17T00:00:00.000+0000,1.4763692436284506,26
2021-07-18T00:00:00.000+0000,1.2336382592318558,30
2021-07-19T00:00:00.000+0000,1.4543811110761782,21
2021-07-20T00:00:00.000+0000,1.5233189119429034,28
2021-07-21T00:00:00.000+0000,1.1367649878022652,34
2021-07-22T00:00:00.000+0000,1.471873417836992,30
2021-07-23T00:00:00.000+0000,1.4886271048343291,23
2021-07-24T00:00:00.000+0000,1.6242465694865986,28
2021-07-25T00:00:00.000+0000,1.599637897417532,27
2021-07-26T00:00:00.000+0000,1.6801223241590213,27
2021-07-27T00:00:00.000+0000,1.7388350810578306,26
2021-07-28T00:00:00.000+0000,1.505877566519298,21
2021-07-29T00:00:00.000+0000,1.5579493422968,29
2021-07-30T00:00:00.000+0000,1.4379421757125885,26
2021-07-31T00:00:00.000+0000,1.5398044509685707,28
2021-08-01T00:00:00.000+0000,1.0799657952602004,26
2021-08-02T00:00:00.000+0000,1.5864826528101434,25
2021-08-03T00:00:00.000+0000,1.3885248721597574,22
2021-08-04T00:00:00.000+0000,1.6985754120044327,21
2021-08-05T00:00:00.000+0000,0.9609856841117108,20
2021-08-06T00:00:00.000+0000,1.5152900986280236,20
2021-08-07T00:00:00.000+0000,1.6346647327903603,22
2021-08-08T00:00:00.000+0000,1.5799441500787628,22
2021-08-09T00:00:00.000+0000,1.6583987382177325,21
2021-08-10T00:00:00.000+0000,1.207628508504756,25
2021-08-11T00:00:00.000+0000,1.4906726345112522,24
2021-08-12T00:00:00.000+0000,1.5360757769441942,24
2021-08-13T00:00:00.000+0000,1.578611882765898,20
2021-08-14T00:00:00.000+0000,1.3257040656307106,27
2021-08-15T00:00:00.000+0000,1.449816704646785,28
2021-08-16T00:00:00.000+0000,1.5125659642950708,24
2021-08-17T00:00:00.000+0000,1.4991298561703434,28
2021-08-18T00:00:00.000+0000,1.5172623551579354,26
2021-08-19T00:00:00.000+0000,1.517378925828168,21
2021-08-20T00:00:00.000+0000,1.6162576291188022,23
2021-08-21T00:00:00.000+0000,1.712941797081062,30
2021-08-22T00:00:00.000+0000,1.4760672268907562,27
2021-08-23T00:00:00.000+0000,1.6799266907758015,21
2021-08-24T00:00:00.000+0000,1.8703783911485607,29
2021-08-25T00:00:00.000+0000,1.798947983635301,24
2021-08-26T00:00:00.000+0000,1.8679105431309904,20
2021-08-27T00:00:00.000+0000,1.8064579958199873,24
2021-08-28T00:00:00.000+0000,1.5783866385433258,19
2021-08-29T00:00:00.000+0000,1.8761435092672374,24
2021-08-30T00:00:00.000+0000,1.3847968297899107,21
2021-08-31T00:00:00.000+0000,1.6127254381576603,25
2021-09-01T00:00:00.000+0000,1.5282833962567275,23
2021-09-02T00:00:00.000+0000,1.8133238662674034,15
2021-09-03T00:00:00.000+0000,1.822942190761412,15
2021-09-04T00:00:00.000+0000,1.7216164550338007,16
2021-09-05T00:00:00.000+0000,1.4180139406554044,20
2021-09-06T00:00:00.000+0000,0.9525165733410569,23
2021-09-07T00:00:00.000+0000,1.5915736468452504,27
2021-09-08T00:00:00.000+0000,1.3840663102539077,16
2021-09-09T00:00:00.000+0000,1.6702629548587835,18
2021-09-10T00:00:00.000+0000,1.3855357199080633,17
2021-09-11T00:00:00.000+0000,1.6363991625959526,18
2021-09-12T00:00:00.000+0000,1.468263946769887,23
2021-09-13T00:00:00.000+0000,1.6369595899569158,18
2021-09-14T00:00:00.000+0000,1.5938247648438657,20
2021-09-15T00:00:00.000+0000,1.6426457919772277,18
2021-09-16T00:00:00.000+0000,1.5941191136597377,19
2021-09-17T00:00:00.000+0000,1.2554578597469441,15
2021-09-18T00:00:00.000+0000,1.6982286322718032,17
2021-09-19T00:00:00.000+0000,1.8211318474573943,22
2021-09-20T00:00:00.000+0000,1.6048139185034993,23
2021-09-21T00:00:00.000+0000,1.6348489914187005,12
2021-09-22T00:00:00.000+0000,1.893503589311468,19
2021-09-23T00:00:00.000+0000,1.537916250197275,16
2021-09-24T00:00:00.000+0000,1.647423051809155,16
2021-09-25T00:00:00.000+0000,1.3881708345040742,20
2021-09-26T00:00:00.000+0000,1.7815656565656566,22
2021-09-27T00:00:00.000+0000,1.7400001978689514,18
2021-09-28T00:00:00.000+0000,1.8118244365361804,21
2021-09-29T00:00:00.000+0000,1.6777914311460638,19
2021-09-30T00:00:00.000+0000,1.600374892608888,21
2021-10-01T00:00:00.000+0000,1.7410807593094781,19
2021-10-02T00:00:00.000+0000,1.763907504679104,21
2021-10-03T00:00:00.000+0000,1.9989885183160196,27
2021-10-04T00:00:00.000+0000,1.8618597104869465,20
2021-10-05T00:00:00.000+0000,1.8252897561497898,20
2021-10-06T00:00:00.000+0000,1.720469074038441,19
2021-10-07T00:00:00.000+0000,1.7128783120478284,17
2021-10-08T00:00:00.000+0000,1.5007277277021678,20
2021-10-09T00:00:00.000+0000,1.6995704020497409,28
2021-10-10T00:00:00.000+0000,1.993348717252613,22
2021-10-11T00:00:00.000+0000,1.8498647170571643,16
2021-10-12T00:00:00.000+0000,1.7588173822171906,22
2021-10-13T00:00:00.000+0000,1.4782561829242824,23
2021-10-14T00:00:00.000+0000,1.5118795533623755,20
2021-10-15T00:00:00.000+0000,1.7084460635932603,20
2021-10-16T00:00:00.000+0000,1.5930251366827344,22
2021-10-17T00:00:00.000+0000,1.7412494742939668,26
2021-10-18T00:00:00.000+0000,1.384481067969516,23
2021-10-19T00:00:00.000+0000,1.585000206820344,34
2021-10-20T00:00:00.000+0000,1.8165394748432457,29
2021-10-21T00:00:00.000+0000,1.7207216533979344,21
2021-10-22T00:00:00.000+0000,1.7570080246393724,23
2021-10-23T00:00:00.000+0000,1.7639380736071197,23
2021-10-24T00:00:00.000+0000,1.8940887627805805,26
2021-10-25T00:00:00.000+0000,1.7197809726068958,24
2021-10-26T00:00:00.000+0000,1.4345549738219896,25
2021-10-27T00:00:00.000+0000,1.8363393309077694,24
2021-10-28T00:00:00.000+0000,1.629652978298078,23
2021-10-29T00:00:00.000+0000,1.7483743570903747,20
